Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2007-1;1;Afganistán;Millones;Dólar estadounidense;0
2007-1;2;Albania;Millones;Dólar estadounidense;0
2007-1;3;Alemania;Millones;Dólar estadounidense;7,469428693
2007-1;4;Anguilla;Millones;Dólar estadounidense;270,2771909
2007-1;5;Antillas Holandesas;Millones;Dólar estadounidense;0,646853906
2007-1;6;Argentina;Millones;Dólar estadounidense;0,923692616
2007-1;7;Aruba;Millones;Dólar estadounidense;11,62335111
2007-1;8;Australia;Millones;Dólar estadounidense;-0,802783879
2007-1;9;Austria;Millones;Dólar estadounidense;0,435735114
2007-1;10;Bahamas;Millones;Dólar estadounidense;0,661308806
2007-1;11;Barbados;Millones;Dólar estadounidense;4,264554342
2007-1;12;Bélgica;Millones;Dólar estadounidense;0,415819162
2007-1;13;Belice;Millones;Dólar estadounidense;0
2007-1;14;Bermudas;Millones;Dólar estadounidense;-9,861645608
2007-1;15;Bolivia;Millones;Dólar estadounidense;-1,37971453
2007-1;16;Brasil;Millones;Dólar estadounidense;503,41094
2007-1;17;Canadá;Millones;Dólar estadounidense;26,53603403
2007-1;18;Chile;Millones;Dólar estadounidense;4,951123541
2007-1;19;China;Millones;Dólar estadounidense;-1,525084756
2007-1;20;Corea del Sur;Millones;Dólar estadounidense;0,44968485
2007-1;21;Chipre;Millones;Dólar estadounidense;0,00004444
2007-1;22;Costa Rica;Millones;Dólar estadounidense;0,528772219
2007-1;23;Cuba;Millones;Dólar estadounidense;0
2007-1;24;Curazao;Millones;Dólar estadounidense;-0,432475
2007-1;25;Dinamarca;Millones;Dólar estadounidense;0,176125934
2007-1;26;Ecuador;Millones;Dólar estadounidense;3,389166455
2007-1;27;El Salvador;Millones;Dólar estadounidense;0,000118
2007-1;28;Escocia;Millones;Dólar estadounidense;0
2007-1;29;España;Millones;Dólar estadounidense;108,2294236
2007-1;30;Estados Unidos;Millones;Dólar estadounidense;553,8411142
2007-1;31;Finlandia;Millones;Dólar estadounidense;0,00000045
2007-1;32;Francia;Millones;Dólar estadounidense;27,06451571
2007-1;33;Gibraltar;Millones;Dólar estadounidense;0
2007-1;34;Grecia;Millones;Dólar estadounidense;0
2007-1;35;Guatemala;Millones;Dólar estadounidense;0,2675
2007-1;36;Honduras;Millones;Dólar estadounidense;0
2007-1;37;Hong Kong;Millones;Dólar estadounidense;0
2007-1;38;Hungría;Millones;Dólar estadounidense;0
2007-1;39;Islas Caimán;Millones;Dólar estadounidense;26,07264899
2007-1;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;-34,89635884
2007-1;41;India;Millones;Dólar estadounidense;0,0199424
2007-1;42;Inglaterra;Millones;Dólar estadounidense;359,6015888
2007-1;44;Irán;Millones;Dólar estadounidense;0
2007-1;45;Irlanda?;Millones;Dólar estadounidense;0,26463482
2007-1;46;Isla de Man;Millones;Dólar estadounidense;0
2007-1;47;Israel;Millones;Dólar estadounidense;0,189597881
2007-1;48;Italia;Millones;Dólar estadounidense;4,709877091
2007-1;49;Japón;Millones;Dólar estadounidense;5,430720941
2007-1;50;Jordania;Millones;Dólar estadounidense;0
2007-1;51;Kuwait;Millones;Dólar estadounidense;0
2007-1;52;Líbano;Millones;Dólar estadounidense;0
2007-1;53;Liberia;Millones;Dólar estadounidense;0
2007-1;54;Liechtenstein;Millones;Dólar estadounidense;0
2007-1;55;Lituania;Millones;Dólar estadounidense;0
2007-1;56;Luxemburgo;Millones;Dólar estadounidense;9,194502439
2007-1;57;Malasia;Millones;Dólar estadounidense;0
2007-1;58;México;Millones;Dólar estadounidense;123,2669148
